,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
765,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,none,yes,good
766,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... < 100 DM,... < 1 year,2,male : single,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled - resident,1,none,yes,bad
767,no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,... < 1 year,1,male : single,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,good
768,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,... < 100 DM,... >= 7 years,1,male : single,none,4,"car or other, not in attribute Savings account/bonds",28,none,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes,good
769,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,... < 100 DM,... >= 7 years,2,male : single,none,4,real estate,63,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
770,... < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,... >= 7 years,2,male : single,none,4,real estate,26,none,rent,1,skilled employee / official,1,none,yes,good
771,... < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,25,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
772,no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,... < 100 DM,... >= 7 years,1,male : single,none,4,"car or other, not in attribute Savings account/bonds",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
773,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee / official,1,none,yes,good
774,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= ... < 1000 DM,unemployed,2,male : single,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled - non-resident,1,none,yes,good
775,... < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,bad
776,no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
777,... < 0 DM,18,existing credits paid back duly till now,radio/television,3509,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,none,yes,good
778,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,... >= 1000 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",38,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
779,0 <= ... < 200 DM,18,existing credits paid back duly till now,repairs,3872,... < 100 DM,unemployed,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",67,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
780,0 <= ... < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,2,real estate,25,none,own,2,skilled employee / official,1,none,yes,bad
781,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
782,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,retraining,1410,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,31,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
783,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... < 500 DM,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,23,bank,own,1,unskilled - resident,1,none,yes,bad
784,0 <= ... < 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/ no savings account,unemployed,1,male : single,none,4,real estate,60,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
785,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
786,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,own,1,skilled employee / official,1,none,yes,good
787,no checking account,48,critical account/ other credits existing (not at this bank),car (used),2751,unknown/ no savings account,... >= 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",38,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
788,0 <= ... < 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,bad
789,... < 0 DM,40,critical account/ other credits existing (not at this bank),education,5998,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
790,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,1188,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes,bad
791,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,... >= 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",41,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
792,no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
793,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,2892,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes,good
794,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
795,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... < 500 DM,... < 1 year,2,male : single,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,good
796,... < 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/ no savings account,... >= 7 years,1,male : single,none,4,building society savings agreement/ life insurance,51,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,bad
797,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,... < 100 DM,... < 1 year,2,male : single,none,4,building society savings agreement/ life insurance,22,none,rent,2,unskilled - resident,1,none,yes,good
798,no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
799,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,... < 1 year,4,male : single,none,2,real estate,35,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good
800,no checking account,24,critical account/ other credits existing (not at this bank),education,1597,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes,good
801,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1795,... < 100 DM,... >= 7 years,3,male : single,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
802,... < 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,1,male : single,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,none,yes,good
803,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",35,none,own,2,skilled employee / official,1,none,yes,good
804,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,male : single,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good
805,... < 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
806,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,590,... < 100 DM,... < 1 year,3,male : single,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no,good
807,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes,good
808,0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,male : single,none,2,unknown / no property,55,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
809,0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,male : single,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,bad
810,0 <= ... < 200 DM,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year,3,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
811,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,3,male : single,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes,good
812,... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
813,... < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",54,none,own,1,skilled employee / official,1,none,yes,bad
814,... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes,bad
815,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),7432,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,none,yes,good
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes,good
817,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,4 <= ... < 7 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
818,... < 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
819,... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes,bad
820,no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
821,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM,1 <= ... < 4 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,own,1,skilled employee / official,1,none,yes,good
822,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,none,yes,bad
823,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes,good
824,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
825,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
826,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes,bad
827,no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",36,stores,own,2,skilled employee / official,2,none,yes,bad
828,... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,... >= 7 years,3,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes,bad
829,0 <= ... < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
830,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
831,... < 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
832,... < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",29,none,rent,2,skilled employee / official,1,none,yes,bad
833,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
834,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,male : single,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,bad
835,... < 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",48,bank,own,2,skilled employee / official,1,none,yes,bad
836,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",21,none,own,1,skilled employee / official,1,none,yes,good
837,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes,good
838,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
839,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,... < 100 DM,... >= 7 years,4,male : single,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes,good
840,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,bad
841,no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,none,yes,good
842,no checking account,18,existing credits paid back duly till now,repairs,1943,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,bad
843,no checking account,24,all credits at this bank paid back duly,business,1559,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",50,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
844,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,good
845,0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
846,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",68,none,rent,2,skilled employee / official,1,none,yes,bad
847,no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,good
848,... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes,good
849,... < 0 DM,12,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,none,yes,bad
850,... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,none,no,bad
851,no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
852,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
853,... < 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes,bad
854,no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
855,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year,4,male : single,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
856,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
857,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
858,... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
859,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,good
860,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,good
861,no checking account,18,delay in paying off in the past,business,2169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
862,... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
863,no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,... >= 1000 DM,... < 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,good
864,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,bad
865,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",20,none,rent,1,skilled employee / official,1,none,yes,good
866,... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,stores,own,1,skilled employee / official,1,none,yes,good
867,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,none,yes,good
868,no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,... >= 7 years,3,male : single,none,2,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,yes,good
869,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,good
870,no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
871,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,good
872,... < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
873,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,male : single,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,good
874,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,none,yes,good
875,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,own,2,skilled employee / official,1,none,yes,good
876,... < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
877,no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,none,yes,good
878,... < 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
879,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,none,yes,good
880,no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
881,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
882,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
883,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,good
884,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
885,... < 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,4,male : single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes,bad
886,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
887,0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
888,no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
890,... < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
891,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
892,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,none,no,good
893,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
894,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
